1. Homer,Simpson,742 Evergreen Terrace, Springfield, IL, 62701, $27, 09/01/2006
2. Marge,Simpson,742 Evergreen Terrace, Springfield, IL, 62701, $62, 06/28/2008
3. Bart,Simpson,742 Evergreen Terrace, Springfield, IL, 62701, $78, 04/14/2007
4. Lisa,Simpson,742 Evergreen Terrace, Springfield, IL, 62701, $15, 05/31/2010
5. Ned,Flanders,744 Evergreen Terrace, Springfield, IL, 62701, $90, 07/15/2007
6. Otto,Mann,908 North First Street, Springfield, IL, 62702, $50, 01/18/2014
7. Kent,Brockman,742 Evergreen Terrace, Springfield, IL, 62701, $76, 12/10/2015
8. Waylon,Smithers,1 Burns Way, Springfield, IL, 62704, $31, 09/23/2006
9. Seymour,Skinner,732 Evergreen Terrace, Springfield, IL, 62701, $63, 11/06/2009
10. Barney,Gumble,Moe's Tavern, Springfield, IL, 62704, $7, 06/19/2006
11. Milhouse,Van Houten,742 Evergreen Terrace, Springfield, IL, 62701, $80, 02/22/2011
12. Ralph,Wiggum,742 Evergreen Terrace, Springfield, IL, 62701, $56, 08/14/2007
13. Edna,Krabappel,740 Evergreen Terrace, Springfield, IL, 62701, $96, 03/05/2012
14. Apu,Nahasapeemapetilon,456 Shelbyville Road, Springfield, IL, 62704, $22, 10/30/2010
15. Willie,MacDougal,742 Evergreen Terrace, Springfield, IL, 62701, $9, 04/01/2005
16. Sideshow,Bob,719 Walnut Street, Springfield, IL, 62701, $45, 07/12/2007
17. Krusty,The Clown,1 Clown Plaza, Springfield, IL, 62704, $28, 12/27/2005
18. Montgomery,Burns,1 Burns Way, Springfield, IL, 62704, $12, 11/18/2014
19. Martin,Prince,742 Evergreen Terrace, Springfield, IL, 62701, $69, 06/07/2008
20. Lenny,Leonard,Stadium Way, Springfield, IL, 62703, $87, 02/05/2013
